ML Model,R2,RMSE
Decision Tree,0.9427049659315376,474.20378429691687
Random Forest,0.9523419155005957,432.4887509595967
AdaBoost,0.8140735887779947,854.2344221732545
XGBoost,0.960569852583754,393.3876529657144
